Drug_ID,Drug_Name,Company,Region,Sale_Date,Approval_Date,Category,Units_Sold,Price_INR,Revenue_INR,Batch_Number,Manufacturing_Plant,Side_Effects_Reported,Clinical_Trial_Phase,Success_Rate,Regulatory_Status,Doctor_Prescriptions,Customer_Rating,Distribution_Channel,Country,Marketing_Spend_INR
1,Ibuprofen,Biocon,south ,2025-01-01 00:00:00,2015-04-29,Analgesic,495,7205.22,3566583.9,4556,Ahmedabad,25,Phase 3,50.93,Rejected,30,3.9,Retail Pharmacy,India,3960109.38
2,Azithromycin,Cipla,Central,2025-01-01 01:00:00,2021-02-20,Antidiabetic,233,21776.3,5073877.899999999,4051,Hyderabad,6,Phase 2,97.17,Rejected,65,3.9,Retail Pharmacy,India,2910912.85
3,Ciprofloxacin,Sun Pharma,NORTH ,2025-01-01 02:00:00,2018-10-16,Gastrointestinal,373,10127.75,3777650.75,1315,Bangalore,31,Phase 1,77.15,Approved,94,2.7,Hospital,India,842111.76
4,Amlodipine,Biocon,WEST,2025-01-01 03:00:00,2023-09-08,Vaccine,941,12281.6,11556985.6,4601,Hyderabad,41,Phase 3,56.88,Rejected,25,1.9,Distributor,India,2780791.65
5,Losartan,Glenmark,Central,2025-01-01 04:00:00,2015-10-16,Analgesic,103,33920.85,3493847.55,1954,Ahmedabad,10,Phase 4,98.0,Rejected,80,4.1,Hospital,India,1007785.76
6,Atorvastatin,Torrent,Central,2025-01-01 05:00:00,2023-12-01,Cardiovascular,783,8485.71,6644310.93,2643,Mumbai,36,Phase 1,84.31,Approved,24,2.6,Distributor,India,1752996.5
7,Losartan,Biocon,west region,2025-01-01 06:00:00,2024-05-01,Vaccine,894,38216.06,34165157.64,1079,Mumbai,40,Phase 2,58.8,Approved,56,4.1,Retail Pharmacy,India,2598284.32
8,Omeprazole,Sun Pharma,East Zone,2025-01-01 07:00:00,2023-05-31,Analgesic,11,16114.18,177255.98,1515,Bangalore,46,Phase 2,91.89,Approved,41,4.7,Distributor,India,373336.86
9,Paracetamol,Aurobindo,NORTH ,2025-01-01 08:00:00,2024-11-01,Cardiovascular,170,35535.82,6041089.4,1685,Ahmedabad,19,Phase 1,82.85,Pending,60,1.3,Retail Pharmacy,India,4835966.1
10,Omeprazole,Cadila,west region,2025-01-01 09:00:00,2021-05-30,Vaccine,160,22685.47,3629675.2,2890,Mumbai,31,Phase 2,87.33,Approved,17,2.9,Online,India,4678825.62
11,Losartan,Lupin, North Region,2025-01-01 10:00:00,2023-04-24,Analgesic,991,1100.28,1090377.48,4759,Hyderabad,29,Phase 4,64.84,Approved,85,2.9,Retail Pharmacy,India,4235701.82
12,Ibuprofen,Sun Pharma,north,2025-01-01 11:00:00,2017-02-23,Antidiabetic,545,27062.71,14749176.95,4165,Mumbai,23,Phase 1,52.82,Approved,76,1.0,Online,India,4628609.92
13,Metformin,Torrent,NORTH ,2025-01-01 12:00:00,2017-08-17,Antidiabetic,70,12184.67,852926.9,1146,Pune,5,Phase 3,87.32,Approved,38,4.9,Hospital,India,2125152.46
